Seite;Nr.;Datum;User;;Sterne;Überschrift;Bewertung (Worte)
;260;24. Aug 13;S. Pommer;;5;Absolut spitze;Ich habe diese Kühl-Gefrier-Kombi nun schon einige Zeit und es gab nicht einen Tag, an dem ich über diesen Kauf nicht total glücklich war. Er ist so groß, geräumig, hell und gut aufgeteilt. Einfach super. Und der Energieverbrauch im Gegensatz zu meinem vorherigen Kühl-Gefrier-Schrank der absolute Hit. Dieses Gerät ist sehr empfehlenswert....
;261;26. Aug 13;Djami;;5;Hält was er verspricht;"sind sehr zufrieden,
viel Stauraum und sehr leise,
top Kühlung, Bedienung leicht verständlich,
sehr gutes Preis/Leistungsverhältnis
einfach alles in Ordnung"
;262;30. Aug 13;Schneelocke;;5;Preis-Leistungsverhältnis stimmt absolut!;"Nach langer Überlegung haben wir uns nun doch für dieses Gerät entschieden.Die Wahl war absolut richtig. Kann diesen Gefrierkombi mit ruhigem Gewissen jeden empfehlen. Produktbeschreibung und Anwendung stimmen absolut überein.
"
;263;31. Aug 13;Robert Müller;;5;Klasse Gerät;"wow, endlich mal ein Kühlschrank der meine Erwartungen erfüllt.
Fast alles top.
Negativ: Außenseiten nicht in Silber wie die Vorderfront, in eine Wohnküche würde ich ihn nicht stellen da er gluckert.
Das er aber so laut wie ein Föhn sein soll ..... lach - Blödsinn.
Ich würde ihn jederzeit wieder kaufen.
Lieferung und co...alles 1aaaa!"
;264;03. Sep 13;stilianos lianos;;5;Kühl-Gefrierkombination;sehr schönes Gerät , elegantes Design , sehr großer Kühlraum , besonders gut für große Familien , einfach top .
;265;07. Sep 13;Fluffi;;5;Super gr0ßer Kühlschrank;"Dieser Kühl/Gefrierschrank ist der Hammer! Elektronisch geregelte Temperatur mit Grad Anzeige, großer geräumiger Kühlschrank, extra Schublade für Fleisch und Wurst. Ich bin sehr begeistert, auch von den geräumigen Schubladen im Gefrierschrank, die keine Wünsche offen lassen. Das einizige Problem: Bei der Lieferung waren alle Kunststoffhaken der Glas-Einlegeböden gebrochen. nach telefonat mit dem Siemens Kundendienst sehr schneller Ersatz per DHL. Allerdings: Da nicht gut verpackt, das selbe nochmal, und nochmal und nochmal... Wir haben ganze 4 Lieferungen der Platten gebraucht bis alle Kunststoffhalterungen o.k. waren. Heftig. Der Kundendienst an sich ist aber o.k.
"
;266;08. Sep 13;Schönbichler;;4;sehr leise!;"vier sterne gibt es desshalb, weil der erste kühlschrank der mir geliefert wurde defekt war. das gefrierfach wurde nicht kalt, er war laut und es roch immer wieder leicht nach gas von der kühlung.

dank amazons super kundenservice wurde das gerät jedoch anstandslos ausgetauscht.

das neue gerät funktioniert perfekt. des weiteren ist der kühlschrank unglaublich leise. ab und zu hört man ein leichtes blubbern, aber das wars."
;267;12. Sep 13;Ingrid Francke;;5;TOLL;Die Kombination entspricht meinen Ansprüchen.Er ist leise kaum zu hören.Er bietet mir genug Platz auch im Gefrier Raum das war mir bei der Kombination suche. schon wichtig
;268;12. Sep 13;Rupert Nold;;5;Absolut genial und empfehlenswert !!;"Wir sind umgezogen in eine Wohnung ohne Kühlschrank. Also musste eine neue Kühlgefrierkombination her. Am besten mit Lieferung direkt ins 2te OG.

Mit den technischen Details wollte ich mich nicht so intensiv auseinander setzten. Mit dem oberste Eintrag auf der Amazon-Bestenliste kann man bestimmt nichts falsch machen. Die sehr vielen positiven Bewertungen bestärkten dieses Gefühl. Anstatt der Edelstahlausführung haben wir uns für die Version in weiß entschieden. Damit spart man ca. 200 € und es gibt weniger Fingerabdrücke. In weiß sieht er ebenfalls sehr edel aus.

Am Dienstag hatte ich das Gerät bei Amazon bestellt. Am Freitagabend kann ein Anruf vom Hermes Einrichtungsservice, dass der Kühlschrank am Samstag zwischen 10 und 14 Uhr geliefert werden wird. Am Samstag kam um 11 noch mal ein Anruf, dass sie in 15 Minuten kommen würden. Der große Kühlschrank wurde von den beiden netten Herren bis ins 2te OG hoch getragen. Je mehr die beiden geschwitzt und gestöhnt haben, desto glücklicher war ich mit dem Aufstellungsservice.

Wichtig: nach der Aufstellung sollte man ein paar Stunden mit der Inbetriebnahme warten, damit sich die durcheinander gewirbelten Flüssigkeiten wieder beruhigen können.

Der Kühlschrank ist sehr hochwertig. Alles ist sehr gut durchdacht und sieht edel aus. Top Qualität.

Durch einige negative Amazon-Bewertungen war ich bereits darauf vorbereitet, dass der Kühlschrank evtl. etwas lauter sein wird. Aber das hat sich bei mir überhaupt nicht bestätigt. Man hört so gut wie gar nichts. Vielleicht gibt es hier unterschiedliche Chargen. Oder vielleicht haben manche nach der Aufstellung nicht gewartet und den Kühlschrank sofort eingesteckt? Ich höre recht gut, aber vom Kühlschrank höre ich gar nichts. Perfekt!!

Der Kühlschrank und der Service sind absolut genial und empfehlenswert. Wenn Ihr eine sehr gute Kühlgefrierkombination sucht und eine hochwertige Qualität möchtet, dann solltet Ihr diesen Kühlschrank nehmen. !!"
;269;15. Sep 13;Thomas Weidner;;5;funktioniert zuverlässig;"Die Geräusche, die das Gerät von sich gibt sind gewöhnungsbedürftig, stört mittlerweile nicht mehr. Man schläft ja nicht in der Küche neben dem Kühlschrank.
"
;270;16. Sep 13;"stefan ""IWAN""";;5;Super Gerät;Gute verarbeitetes Gerät sehr leise auf jeden fall empfehlenswert Transport war mit Hindernissen verbunden aber nach dem 3. ten Anlauf hat alles geklappt
;271;17. Sep 13;S.Bo.;;4;guter Kühlschrank;"Ich finde den Kühlschrank wunderbar geräumig. Er entspricht genau meinen Vorstellungen und die Beschreibungen waren vollkommen zutreffend. Allerdings ist er tatsächlich laut. Was mich nicht stört, da er in der Küche steht. Das, was über die merkwürdigen Geräusche von anderen geschrieben wurde, trifft voll und ganz zu. Ist schon eine merkwürdige Geräuschkulisse.... Deshalb keien 5 Sterne.
"
;272;18. Sep 13;Evelyn Albrecht;;4;großräumiger, übersichtlicher Kühlteil.;Es passt viel rein, Flaschen, sogar ganze Torten. Das Summende Geräusch, wenn er anspringt ist etwas nervig. Gutes Disigne. Gefrierfächer lassen sich mit kleinem und auch großem Gefriergut übersichtlich lagern
;273;19. Sep 13;Markus Konrath;;5;Bewertung!;"Hallo, diese Kühlgefrierkombination gefällt mir sehr gut!
Sparsam, tolles Outfit, Preis-Leistungsverhältnis stimmt,
einfach genial! Bin rundherum zufrieden!

MfG
Markus Konrath"
;274;20. Sep 13;Hör-Papa;;5;Verspricht und hält es.;Sind sehr überrascht von der Lieferzeit, der Anlieferung bis vor Ort und den Funktionen. Diese wirken sich auf sehr günstigen Stromverbrauch aus. Einfach Superklasse.
;275;24. Sep 13;S., Wiesbaden;;5;Ein tolles Gerät!;Sehr übersichtliche und praktische Einteilung. Besonders gut gefällt mir das große Obst- und Gemüsefach und die Wurst- und Fleischschublade. Sehr praktisch ist auch das hochklappbare Hängefach!
;276;26. Sep 13;Hans Müller;;5;Kuehlgefrierkombination;Der Kühlschrank ist mit dieser A+++ Ausstattung ein muss. Diesen Artikel konnte ich bei amazon zum Best-Preis finden und ich würde ihn auch jedem empfehlen der einen neuen Kühlschrank sucht.
;277;28. Sep 13;Jan Auras;;4;Gut, aber als Wohnkühlschrank nicht eben leise;"Wir haben das Gerät als Wohnkühlschrank für die Amerikanische Küche gekauft. Das Gerät ist groß, gut und entspricht unseren hohen Erwartungen an Design und Funktion. Aber: er ist viel lauter als unser 10 Jahre altes Vorlaufmodell. Ständig quietscht, zuzzelt, blubbert und brummt es. Wenn das Wohnzimmer ansonsten ruhig ist, kann das schon störend sein. Das gilt aber sicherlich auch für alle anderen neuen Kühlschränke mit A+++. Die haben ähnlich hohe Dezibel-Angaben. Trotzdem Kaufempfehlung!
"
;278;30. Sep 13;Noranmu;;5;Siemens KG39EAW40 isr top;"Der KG hält was er verspricht. Die Minuspunkte in verschiedenen Rezensionen traten bisher nicht auf. Er ist flüsterleise und die Temperaturen hält er ganz genau ein. Er ist voll empfehlenswert.

Noranmu
"
;279;30. Sep 13;K. Doerfler;;4;Gute Aufteilung, gute Funktion;"Ich habe die Kühl-Gefrier-Kombination jetzt seit ca. 4 Wochen im Einsatz und bin sehr zufrieden. Die unterschiedlichen Kältezonen funktionieren gut - eiskaltes Fleisch, kaltes Bier, aber die Butter ist immer noch im streichfähigen Zustand.
Die herausklappbare Flaschenablage ist sehr praktisch. Ebenso die Big Box - das ist eine sehr große Schublade im Gefrierteil, in die man z. B. ganze Gänse hineintun kann. Ich benutze sie zum Pizzastapeln.

Über technische Details möchte ich mich nicht weiter auslassen. Die sind so, wie sie in der Produktbeschreibung stehen, schon ganz richtig beschrieben.

Kleiner Kritikpunkt: Es dauert ewig, bis man sämtliche Transportschutzklebebänder im Inneren gelöst hat, und der Kantenschutz vom untersten Kühlschrankfach ist bei mir sogar immer noch dran. Mit den Fingernägeln bekomme ich ihn nicht angehoben. Vor Versuchen mit scharfen Gegenständen bin ich bisher noch zurückgeschreckt, weil ich die Chromkante nicht zerkratzen möchte. Ferner ist es mir nicht gelungen, die Aufkleber außen am Kühlschrank rückstandsfrei zu entfernen.

Ich möchte noch auf die Geräuschkulisse eingehen, die der Kühlschrank permanent verursacht. Diese hat ja schon einige der Kommentartoren hier extrem gestört. Mich nicht. Der Kompressor ist sehr leise, und er schaltet sich häufig ganz aus. Die Kühlflüssigkeit hingegen scheint ständig in leichter Bewegung zu sein. Man hört ein fernes Gluckern und sachtes Rauschen, welches ich anfangs gar nicht dem Kühlschrank zuordnete. Ich dachte, draußen würde es stark regnen und das Geräusch sei das durch das geschlossene Küchenfenster gedämpfte Pladdern des Regens auf die Straße.

Wenn der Kühlschrank in der Küche steht, ist das gar kein Problem. Die Geräusche sind leise und selbst bei offener Küchentür in den anderen Zimmern nicht zu hören. Wenn man jedoch eine Wohnküche oder ein Appartement mit Kochnische hat, weiß ich nicht recht, wie angenehm sich das Zusammenleben mit dem Apparat auf Dauer gestalten wird :-)."
;280;01. Okt 13;Christine Wurl;;3;Brabbelnder Kühler;schickes Teil, aber ziemlich laut, wenn er seine 5 Min. kriegt. Ich muss noch mal an der Aufstellung etwas ändern. Vielleicht liegts ja daran, daß er nicht so 100% gerade steht. Zufrieden bin ich im Moment nicht
;281;08. Okt 13;Hildegard Hamberger;;5;Preis - Leistung: Ein überzeugendes Gerät;Die Lebensmittel können differenziert gekühlt und gelagert werden, und das bei einem geräumigen Platzangebot. Obst, Salat und Gemüse bleiben lange frisch, ein großer Unterschied zu meinem alten Gerät. Die Anschaffung hat für mich wirklich gelohnt.
;282;09. Okt 13;Fredi Will;;5;Siemens KG39 EAW 40 Kühl Gefrier Kombi A+++ weiß nach 3 Wochen Betrieb;Siemens KG39 EAW 40 Kühl Gefrier Kombi A+++ weiß. nach 3 Wochen Bertieb erfüllt die Daten bzgl. Betriebsgeräusche und Stromverbrauch.
;283;13. Okt 13;Hildeboss;;5;Super Stromsparer;"Nach langem überlegen, haben wir uns es erlaubt unseren 17 Jahre alten Kühlschrank in Rente zu schicken und Platz für neue und effiziente Technik zu schaffen. Unser alter Kühlschrank hatte ein jährlichen Stromverbrauch von rund 610Kwh (nachgemessen).
Um so erfreulicher ist die Tatsache das dieser hier nur rund ein Viertel davon verbraucht. Der Kühlschrank sieht super aus und vertritt stilvoll die neuste Technik. Ein kleiner Akzent setzt auch die LED innenbeleuchtung als moderne und neueste Beleuchtungsmethode. Der Kühlschrank ist angenehm leise. Die manuelle Temperatureinstellung gefällt. Und ganz nebenbei, ja Sogar Kühlen tut er:-)
Ich kann diesen Kühlschrank jedem empfehlen und ich freue mich jeden Tag aufs neue ihn in der Küche zu begegnen."
;284;14. Okt 13;Robert Nadj;;5;Perfekt;"Der Kühlschrank ist Perfekt.
Also wer einen kleinen Eingang mit einer Treppe daneben hat, sollte es im Vorhinein abmessen.
Der Lieferant konnte es erst beim 3. Anlauf in meine Wohnung bringen.
Über 2,3m hoch mit der Verpackung !!!!
Ein Tolles Gerät.
Alarm gibt es schon ab einer Minute..... Ein schriller Ton.
Ausstellen kann man es am Alarmknopf, nachdem der Alarm ertönt !
Schön viel Platz drin....
Für weitere Fragen bin ich offen !"
;285;15. Okt 13;P., Carolin;;5;Betriebsgeräusche ja, aber TOP Gerät!;"Haben das gute Stück nun seit gut 2 Monaten und sehr zufrieden. Der Stauraum ist wirklich imens - da kan kein Einbaugerät mithalten! Die einzelnen Kühlbereiche sind wirklich intelligent - sehr gut gefällt uns das spezielle Wurst/Fleisch-Fach und das Gemüse/Obst-Fach. Da bleibt wirklich alles länger frisch, als vorher einfach nur so im Kühlschrank!
Dass man hört, dass das Gerät angeschaltet ist, kann ich bestätigen, aber ist das nicht auch irgendwo normal, dass ein Kühlschrank eben gluckert und summt? Also wir haben eine offene Küche und empfinden die Geräusche auch abends auf dem Sofa ca. 8m daneben beim fernsehen nicht als störend!
Auch bei der letzten großen Familienfeier wurde die Kombi sehr beansprucht - 30° im Schatten und drinnen mussten überzähliger Kuchen usw. im Kühl und Gefrierraum untergebracht werden. Zudem waren kalte Getränke gewünscht usw. Alles kein Problem! Wir sind sehr zufrieden bisher und können nur sagen ""Daumen hoch"" - preisleistungsmäßig auf jeden Fall ein Sieger!"
;286;22. Okt 13;André Wächtler;;4;Guter und günstiger A+++ Kühlschrank;"Ein toller Kühlschrank. Es ist nur schon 2x vorgekommen, dass das Tiefkühlfach nicht durchgehalten hat, wenn man zu stark befüllte, aber dafür gibt es ja den ""Super-Modus"" ^^
"
;287;24. Okt 13;"Wühr ""Golfer""";;5;Super Kühlgefrierkombination;"Sie bietet viel Platz und ist leise. Achten sollte man auf den Zugang, aufgrund der Größe bzw. der Höhe.

Was ich anmerken muss ist, dass ich bestellt hatte und innerhalb von ein zwei Minuten diese Bestellung stornieren wollte. Habe dies sofort hier zurückgezogen, angerufen und eine Mail geschickt! Amazon hat diese Stornierung nicht bearbeiten ""können"". Also wenn ich nicht innerhalb von 2 Minuten stornieren kann, ist diese Möglichkeit unnütz!!!!"
;288;27. Okt 13;Amazon4ever;;5;Siemens Kühl-Gefrierkombi;"Es ist der Beste Kühlschrank den ich bis jetzt hatte, er ist sehr geräumig und sehr funktional.
Alleine in die Big Box im Gefrierbereich passt ein haufen Nahrung rein.
Ich kann jedem Nur ans Herz legen diesen Kühlschrank zu kaufen.
"
;289;29. Okt 13;Cesar;;4;AOK!;"Artikel ist in ordnung, doch der kurierdienst könnte ruchig freundlicher sein und entgegenkommender.
Ansonsten schnell und portmonue freundlich, was will mann mehr."
;290;29. Okt 13;Waldemar Wulf;;3;grosser, schöner Kühlschrank- nur das Gefrierfach will nicht frieren;"Nun unsere Kühl-Gefrierkombi haben wir letztes Jahr im Juli gekauft. Lieferung war perfekt schnell. Die Männer von der Spedition haben sich geweigert den kombi in den ersten Stock zu tragen. Nun seies drum, hat mein Mann mit seinem Bruder ihn nun in den ersten stock zu uns gehievt. Nach dem Aufstellen lief der Kombi einwandfrei. Die Geräusche über die sich alle so beschweren, habe übrigens auch eine super große offene Wohnkuche stören uns gar nicht. Diese gehören nun mal dazu. Aber gut jedem das Seine.
Im April dieses Jahres ertönte erstmalig Alarm fur das Gefrierfach, zuletzt gemessene Temperatur -9(sollte -18 sein). Beim Kundendienst angerufen, waren sehr freundlich, haben gleich einen Termin fur den Techniker ausgemacht. Techniker kam, Magnetventil erneuert, alles durchgecheckt, alles war in Ordnung.
Im Mai ertönte der Alarm fur das Gefrierfach, wieder Temperatur zu warm, bei -3 bis -1. Der Techniker kam wieder schnell, wieder alles durchgecheckt, war alles o.k.Hat dann die Elektronikleiste erneuert.
Im Oktober ertönte wieder der Alarm für das Gefrierfach, wieder warme Temperatur -9, bis der Techniker kam, ging die Temperatur bis auf -5 hoch. Meine ganzen ""eingefrorenen"" Lebensmittel musste ich leider wegschmeißen, da alles aufgetaut war. Gut zurück zum Techniker, kam , durchgecheckt, mit der Centrale telefoniert, UMTAUSCH.
Also der Sevice ist EINWANDFREI, FREUNDLICH, SCHNELL. Das nun mal so nebenbei.
Heute kam der Neue Kombi, die Leute von der Spedition mussten ihn hoch tragen, haben in die Seite einige Dellen reingemacht beim hochtragen, was nicht direkt stört,. Was mir jedoch Sorgen bereitet, ist,, dass der Mensch sich am Rohr mit dem Kühlmittel festgehalten hat und hat es natürlich verbogen. Habe ihn darauf angesprochen, er total trocken, ach dat wird schon alles funktionieren. Er wurde auf jeden Fall nie wieder diesen Kühlschrank hoch tragen oder runter. O.k. habe ich mir gedacht, rufst du in der Siemens-Centrale an. Habe ich getan, eine Beraterin hat mir gesagt, ich musste den Reparatursevice anrufen und das melden, weil keine einwandfreie Ware geliefert wurde. GESAGT, GETAN.
weiterer termin, 05.11. MAL SEHEN WAS, KOMMT.
Im Moment kann ich leider nicht sagen, ob ich diesen Kombi weiterempfehlen würde. So gesehen hat er ja fast 9 Monate einwandfei fuktioniert. Vielleicht haben wir einfach kein Glück oder einfach Montagsgerät, hhmm"
